"incident_id","underlying_case_type","overlapping_case_type_flags","victim_suicide","homicide_suicide","victim_alcohol_indicator","perpetrator_alcohol_indicator","both_alcohol_indicators"
"INC-0488","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0489","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0491","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0492","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0493","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0494","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0495","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0496","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0497","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0498","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0500","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
